d10/2,d100,CYPHER,DESCRIPTION,LEVEL,FORM,,,,,,,
1,33,Chemical factory,"After one hour, the sweat of the user produces 1d6 doses of a valuable liquid (these doses are not considered cyphers). They must be used within one week. Effects vary:
01–04 Euphoric for 1d6 hours
05–08 Hallucinogenic for 1d6 hours
09–12 Stimulant for 1d6 hours
13–16 Depressant for 1d6 hours
17–20 Nutrient supplement
21–25 Antivenom
26–30 Cures disease
31–35 See in the dark for one hour
36–45 Restores a number of Might Pool points equal to cypher level
46–55 Restores a number of Speed Pool points equal to cypher level
56–65 Restores a number of Intellect Pool points equal to cypher level
66–75 Increases Might Edge by 1 for one hour
76–85 Increases Speed Edge by 1 for one hour
86–95 Increases Intellect Edge by 1 for one hour
96–00 Restores all Pools to full",1d6,Pill,Ingestible liquid,Injector,,,,,
1,34,Chitin colony,The shavings sprout sharp legs and rush out of the container to completely encase the user’s body. Each piece locks with another piece to form a flexible mesh. The user gains +1 to Armor for one hour.,1d6,Small container filled with metal shavings,,,,,,,
1,35,Cicerone,"The user activates the device, points the automaton’s face in the general direction he wishes to go, and states a general distance. The device suggests the easiest and quickest way to travel that route, taking into account terrain, weather, potential threats, and existing paths. It functions for 28 hours and then dies, speaking a single bit of useful information about the route ahead when it does so.",1d6,Handheld automaton,,,,,,,
1,36,Cleaner,"When activated, the device dissolves the remains of one dead human-sized creature into a small pile of salts and other minerals.",1d6,Wristband projector (immediate range),Metal containter filled with metal fillings,,,,,,
1,37,Concrete casting,"When mixed with water, this compound turns into malleable paste. If molded around a piece of armor, a body part, or another object and allowed to harden for ten minutes, the paste gives it an additional layer of protection, granting +3 to Armor. The paste lasts for one hour before it begins to disintegrate.",1d6,Compound,,,,,,,
1,38,Contingent subroutine,"The device automatically activates if the user becomes debilitated or dies. The device downloads special instructions from the datasphere that cause the body to take steps to protect and repair itself. During the next minute, the user is under the GM’s control and on each of the user’s turns, even if he is dead, he takes an action to move away from danger by the safest available route. At the end of this time, he makes a recovery roll – again, even if he is dead. The recovery roll does not count against the limit on recovery rolls that he can make in a day.",1d6,Pill,Ingestible liquid,Inhalable powder,Temporary tattoo,Dermal patch,,,
1,39,Cypher replicator,"The user can dismantle the orb and use the individual blocks to replicate the shape of a weapon, bit of armor, or piece of equipment that is in her line of sight. Even if the duplicate is not identical, the finished object gives a viewer the sense that it is. In fact, for most people, it would be hard to tell the two objects apart. Creating the duplicate takes two actions. The replicated item works exactly as the original does, except that it disintegrates in one hour.",1d6,An orb created from a series of synth blocks in various shapes that connect to each other via male and female tabs,,,,,,,
1,40,Cypher seed,"If affixed to another cypher that is a handheld device, it infuses that cypher with additional circuitry like roots from a plant. In 28 hours, it transforms the cypher into an artifact. The GM determines whether the new artifact retains the same ability (but now with potentially multiple uses) or whether it becomes a different artifact of the handheld-device variety.",1d6,Tiny metal and synth chip,,,,,,,
1,41,Data mine,"Allows the user to tap into the mind of anyone in visual range and steal the target’s knowledge of a skill that it is trained in. The user becomes trained in that skill for one hour. During that time, the target loses its own training in that skill.",1d6,Small disc attached to forehead,Electronic bracelet,Thick collar,Stretchy gloves,,,,
1,42,Data spike,"A user activates the device by inserting it or having another character insert it into the base of his neck, angled upward so that it enters the brain stem. Installing the spike and removing it at a later time inflicts 1 point of damage that ignores Armor. A user can benefit from only one data spike at a time.
Once the spike is installed, the user immediately connects to the datasphere and downloads information about a randomly determined skill into his mind. He becomes trained in that skill for a number of hours equal to the cypher level. If he is already trained in the skill, he instead becomes specialized.
When a data spike is found, the GM can choose a skill or roll a d20 to determine the skill(s) randomly.
1 Astronomy
2 Balancing
3 Biology and botany
4 Climbing and swimming
5 Deceiving
6 Escaping and lockpicking
7 Geography and geology
8 Healing
9 History
10 Identifying
11 Intimidation
12 Leatherworking, metalworking, and woodworking
13 Numenera
14 Perception
15 Persuasion
16 Philosophy
17 Pickpocketing
18 Repairing
19 Riding
20 GM’s choice",1d6,Tiny spike,,,,,,,
1,43,Datasphere siphon,"Tapping into the datasphere’s knowledge, the user can learn the answer to one question (two questions if the cypher is level 4 or higher, three questions if the cypher is level 6 or higher).",1d6,Pill,Ingestible liquid,Temporary tattoo,Amulet,Headband,Crystal worn on temple,Small handheld device,Crystal
1,44,Deficiency detonator,"When the disc hits its target and attaches, it relays information about the target’s weakness to the user. This information decreases the difficulty of the user’s next interaction with the target by one step. If the user relays the weakness to others, the difficulty of their next interaction with the target is also decreased by one step.",1d6,"Two small discs. One attaches to the user. The other, when thrown, seeks out and attaches to the nearest living creature in long range.",,,,,,,
1,45,Demployer (hypersound),"Once initiated, the device causes all audible sound waves within long range to gather in a single wave of inaudible hypersound. This wave then carries the sound directly to the ears of the user, allowing him to hear everything while at the same time creating absolute silence for everyone else in long range.",1d6,Handheld device,,,,,,,
1,46,Density nodule,"For the next 28 hours, each time the weapon the nodule is attached to strikes a solid creature or object, the weapon suddenly increases dramatically in weight, causing the blow to inflict an additional 2 points of damage (3 points if the cypher is level 4 or higher).",1d6,Crystal nodule affixed to a melee weapon,,,,,,,
1,47,Deployer (atmospheric),"Once initiated, the device collects the most widely available atmospheric aerosols within long range (such as drit dust, water droplets, pollen, bacteria, or smoke). It brings those aerosols together in a whirling tornado that centers around the device itself. Anything in close range of the tornado takes damage equal to the cypher level.",1d6,Wristband projector (long range),Arm-mounted launcher (long range),Shoulder-mounted projector (long range),Handheld projector (long range),,,,
1,48,Deployer (muscular),"Once the material enters a living body, it begins to rearrange the skeletal muscle tissue of the creature in an orderly fashion to allow muscles to be used at their maximum capacity. For the next ten minutes, the difficulty of all Speed-based tasks (including Speed defense) is decreased by one step.",1d6,Injector,Pill,Needle projector,Blow gun (short range),,,,
1,49,Deployer (optical),"Once initiated, the device manipulates the path of electromagnetic radiation through specific parts of the light spectrum. In doing so, it shields the user from view, essentially rendering her invisible, for one hour.",1d6,Handheld device,,,,,,,
1,50,Dessication bag,Completely dries out any object placed in the bag within ten minutes. Living creatures put into the bag take damage equal to the cypher level.,1d6,Small synth bag approximately 0.3 m by 0.3 m by 8 cm,,,,,,,
1,51,Detonation (distress),"Explodes in an immediate radius with blue vapors. Anyone in the area becomes nauseated and spends one round per cypher level vomiting and incapacitated in pain, unable to take actions.",1d6,"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,,
1,52,Detonation (filament),"Bursts into a swirling mass of hundreds of extremely thin metal filaments that slice through flesh and objects in an immediate radius, inflicting damage equal to the cypher level. Further, the razor-sharp filaments remain in the area, difficult to see but dangerous. Anyone entering the area suffers damage as if they were caught in the initial explosion. The area of filaments collapses after ten minutes.",1d6,"Explosive device (thrown, short range)","Ceramic sphere (thrown, short range)",Handheld projector (long range),,,,,
1,53,Detonation delay,"The device can be attached to almost any type of detonation cypher to delay its activation. The user can set the timer for one minute, ten minutes, or 28 hours. Provided that the delay or detonation is not found and dismantled ahead of time, the detonation explodes at the preset time.",1d6,Small wired device,,,,,,,
1,54,Detonation trigger,"The nanowires can be attached to almost any type of detonation cypher. The user can then remotely trigger the device using the wristband transmitter. The detonation must be within long range, but it doesn’t need to be in the user’s vision.",1d6,Wristband transmitter (long range) and a small patch or bundle of nanowires,,,,,,,
1,55,Device enhancer,"If affixed to another cypher or artifact, that device is enhanced in one of the following ways (roll a d6):
1 The device now also inflicts 4 points of damage if used on a target other than the user. If the device already inflicts damage, the damage is increased by 2 points. If used on an artifact, this effect lasts for 28hours after the first use.
2 The device, when activated, also projects a force field around the user that lasts for an hour. This field provides +2 to Armor. If the device already creates protective Armor, that Armor gains +1 instead. This functions once, regardless of whether the enhanced device is a cypher or an artifact.
3 The device, when activated, also adds 1 to the user’s Might Edge, Speed Edge, and Intellect Edge for one hour. This functions once, regardless of whether the enhanced device is a cypher or an artifact.
4 If the device has immediate range, the range is increased to short. If short, it is increased to long. If long, it is increased to 61 m. Such changes to the device last for 28 hours. If the device does not have a ranged effect, it instead affects the user when activated so that the user moves a long distance on an action for 28 hours. This latter effect can be used once.
5 The device, when activated, also makes the user invisible for an hour. While invisible the user is specialized in stealth and Speed defense tasks. This effect ends if he does something to reveal his presence or position – attacking, performing an esotery, using an ability, and so on. If this occurs, he can regain the remaining invisibility effect by taking an action to focus on hiding his position. This functions once, regardless of whether the enhanced device is a cypher or an artifact.
6 The device now also restores a total of 4 points each time it is activated. The user can allocate those points among his stat Pools as desired, but the Pools cannot go above their maximum. If the device already restores points to Pools, it restores 2 additional points. If used on an artifact, this effect lasts for 28 hours after the first use.",1d6,Tiny metal and synth chip,,,,,,,
1,56,Disrupting nodule,"For the next 28 hours, each time the weapon the nodule is attached to strikes a solid creature or object, it generates a burst of nanites that directly attack organic cells. The affected target takes 1 additional point of damage (2 points if the cypher is level 4 or higher, 3 points if the cypher is level 6 or higher) and loses its next action.",1d6,Crystal nodule affixed to a melee weapon,,,,,,,
1,57,Drastic propulsion,"When activated, the device propels the user quickly in the direction he desires, allowing him to cover twice the usual amount of ground each round. If the user is holding tightly to another person or creature, that person or creature moves with him at the same speed. The effect lasts for one minute.",1d6,Small clack box with a hook that attaches to a piece of clothing,,,,,,,
1,58,Dreamachine,"The device creates pulsing light, sound, or some other combination of stimuli designed to alter the brain’s electrical oscillations. When the user sits within close range of the device for at least ten minutes with his eyes closed, he enters a hypnagogic state. This allows his mind to open to the wonders of the datasphere, granting him the answer to a single question.",1d6,Hood,Mask,Head halo,Standalone device,,,,
1,59,Dry water,The device activates when exposed to water. It instantly expands into water with a volume of 4 L per cypher level.,1d6,Tiny ceramic marble,Tiny stone marble,Tiny glass marble,,,,,
1,60,Dynamic hourglass,"When the user activates the device, she disappears. She is removed from existence until the next round ends, at which point she returns to the same spot she left (or the nearest open space to that spot). At any time within the next 28 hours, she can take an extra action on her turn.",1d6,Handheld device,,,,,,,
1,61,Eagleseye,Grants the ability to see ten times as far as normal for one hour per cypher level.,1d6,Pill,Ingestible liquid,Injector,,,,,
1,62,Ecstasy glass,"The device takes over the user’s senses for one hour and floods them with profound pleasure. The user cannot see, hear, smell, taste, or feel anything in her surroundings during this time. Instead, she experiences whatever she most desires, and she believes that she is engaged in an activity that produces great and lasting pleasure. The experience might be eating a sumptuous meal, engaging in a sexual act with one or more people she desires, or simply sitting comfortably in a beautiful landscape. When the effect ends, she feels restored and may immediately make a recovery roll. This recovery roll does not count against the limits on the number of recovery rolls that she can make in a day.",1d6,Spectacles,Goggles,Helmet with visor,Six joined glass spheres,,,,
1,63,Effulgent body,"Injects a fluorescent protein gene into the user, causing her to glow with a bioluminescent light that illuminates the area around her (within close range) as though it were daylight. The effect lasts for one hour.",1d6,Syringe,Pill,Ingestible liquid,,,,,
1,64,Energy siphon,"When activated, this small metal device hovers around the user, and any energy attack (such as a nano’s force blast or a beam from a ray emitter) strikes the cypher instead. The device is not harmed by the attack. Once activated, the energy siphon functions for one hour.",1d6,Small metal device,,,,,,,
1,65,Exalted vapor,"Allows the user to inhale a potent chemical that restores a number of points equal to the cypher level to one random Pool. Roll d100:
01–50 Might Pool
51–75 Speed Pool
76–00 Intellect Pool",1d6,Electronic smoking implement,,,,,,,
1,66,Eye in the sky,"When activated, part of this device shoots 244 m into the air, projecting everything it sees onto a screen on the other portion of the device. The eye in the sky floats for an hour, all the while projecting what it sees.",1d6,Handheld device,,,,,,,
1,67,Fact finder,"When someone wears the device and it is activated, the wearer should be asked three simple questions. These questions allow the device’s mechanics to calibrate to the wearer’s response. After that, the device will shock the wearer (doing damage equal to the cypher level) every time he says something that is not true. The effect lasts for five questions (in addition to the original calibration questions).",1d6,Glove with a mechanical device in the palm,Headband with mechanical device,,,,,,
1,68,Faraway ear,"When this device is activated, the user can pinpoint any spot she can see, up to 305 m distant, and hear whatever could normally be heard (as soft as a whisper) at that location for ten minutes.",1d6,Earring,Helmet,Handheld device,,,,,
1,69,Fast hail,"When firmly shaken and then projected via a ranged weapon of any kind, the capsule explodes, sending pressurized streams of large water droplets into the air. Within one minute, the droplets form hailstones about 5 cm in diameter. Everything within the hailstorm takes damage equal to the cypher level. The storm lasts for 10 minutes.",1d6,Cooled capsule filled with pressurized compound,,,,,,,
1,70,Fertility barrier,"Once ingested, it prevents conception for one week. If a fertility barrier is used by both parties, it increases the chance of conception (decreases the difficulty by one step) for the same amount of time.",1d6,Pill,Ingestible liquid,,,,,,
1,71,Flame-retardant wall,Creates an immobile plane of permeable energy up to 6 m by 6 m for one hour per cypher level. The plane conforms to the space available. Flames passing through the plane are extinguished.,1d6,Belt,Ring,Bracelet,Handheld device,,,,
1,72,Flesh eater,"Bursts in an immediate radius, eating away any organic matter that it comes into contact with. Living creatures take damage equal to the cypher level.",1d6,Wristband sprayer (long range),"Ballon (thrown, short range)","Ceramic sphere (thrown, short range)",,,,,
1,73,Floating bubble,"Upon activation, the user is encapsulated in a bubble of force for ten minutes. This bubble floats at least 0.3 m in the air at all times but moves as the user wishes (requiring an action to do so, just like normal movement) vertically or horizontally, up to a short distance each round. The user cannot penetrate the bubble, and neither can forces from the outside. Not even ambient damage gets through. Dealing at least 50 points of damage to the bubble (which has no Armor) destroys it. Damaging the bubble does not harm the user inside until the bubble is destroyed, at which point he falls from whatever height the bubble was at, which is at least 0.3 m in the air.",1d6,Ring,Bracelet,Handheld device,,,,,
1,74,Flowstone,"The user activates the item by applying the contents to a stone surface. There is enough grease to coat a 2 m radius area. It takes one minute for the stone to absorb the grease. At the end of this time, the stone gains the consistency of soft clay to a depth of 2 m. The effect lasts for one hour. At the end of this time, the stone returns to its normal hardness.",1d6,Steel or glass jar containing thick grease,,,,,,,
1,75,Fluttering recorder,"Activation causes the device to sprout tiny wings and flutter up into the air, waiting for instructions. The user can give the device specific directions to travel to a place within 3 miles (5 km) of where it was activated. The cypher follows the directions it was given, exactly as they were given, until it can travel no farther or it arrives at its destination. There, it waits for one hour, recording everything it sees and hears. At the end of this time, the cypher flies back to where it received the instructions and plays back the recording by projecting the images it witnessed onto a flat surface and playing the audio through the speakers in its body. It repeats the recording 1d6 times and deactivates.",1d6,Tiny insect made of metal,,,,,,,
1,76,Force nodule,"For the next 28 hours, the armor the nodule is attached to is bolstered by a powerful force field, adding 2 to the Armor it provides (adding 3 to the Armor if the cypher is level 5 or higher).",1d6,Crystal nodule affixed to armor,,,,,,,
1,77,Friction-reducing gel,"Sprayed across an area up to 3 m square, this gel makes things extremely slippery. For one hour per cypher level, movement tasks in the area are hindered by three steps.",1d6,Spray canister,,,,,,,
1,78,Ghostly veil,"When applied to armor or a weapon, the metamaterial refracts light around the object, rending it nearly invisible for one hour. For anyone wearing veiled armor or using a veiled weapon, the difficulty of all tasks involving sneaking, being stealthy, and hiding is decreased by one step.",1d6,"Metamaterial compound in a jar, tube, or box",,,,,,,
1,79,Glowing tracker,"The device explodes in a shower of gel filled with neon gas, covering everything within immediate range in brilliant green and orange. The color can be seen in the dark up to 2 km away and lasts for one hour.",1d6,Wristband projector (long range),Handheld projector (long range),Thrown (short range),,,,,
1,80,Goss,"To activate the cypher, the user must place it under her tongue and then speak for up to one minute. The device records everything she says. At the end of this time, she can place it anywhere she chooses. For the next day, the device repeats whatever she said in her voice and tone to anyone who moves within 3 m of it. Once the device repeats the recording, it makes no further noise until another creature approaches, at which point it begins the speech all over again. When the effect ends, the device breaks up into chunks of foul-smelling filth.",1d6,"A small, moist tongue",,,,,,,
1,81,Gravity dampener,"The device automatically activates whenever its user falls 3 m or more. The user floats down until he lands safely, taking no damage from the fall.",1d6,Medallion,Ring,Boots,,,,,
1,82,Gravity nodule,"For the next 28 hours, the weapon the nodule is attached to seems to defy some element of gravitational pull, sliding faster through the air to seek and strike its target. The nodule essentially turns a heavy weapon into a medium weapon (usable in one hand) or a medium weapon into a light weapon (lowering the difficulty of attacks by one step). If attached to a light weapon, the nodule reduces the difficulty of attacks by another step. Damage remains unchanged in all cases.",1d6,Crystal nodule affixed to a melee weapon,,,,,,,
1,83,Ground orb,"Unfolds into a clear, padded synth orb about 2 m in diameter, with a large door that swings open. Once inside, the user can strap herself in and voice-program the orb with a location. The orb will roll to said location with the user inside, increasing travel speed along a road to about 8 km per hour and overland travel speed to about 6 km per hour during long-term movement. Unfolding the orb is an action. Getting inside and programming it is also an action.",1d6,Handheld device,,,,,,,
1,84,Growth serum,"The user permanently grows a foot taller. This process is painful and takes 28 hours, during which time the affected character is impaired.",1d6,Injectable liquid,Ingestible liquid,,,,,,
1,85,Habiliment mirage,"The user activates the device and scans the resulting small beam of light over a piece of clothing, armor, or other accoutrement within long range. The device then creates a hologram of that outfit over and around the user, making it seem as if he is wearing it, right down to the details. The illusion lasts for one hour or until the device is removed from the user’s person.",1d6,Lapel pin,Bracelet,Ring,,,,,
1,86,Hanging cocoon,"After being given a firm shake, this device expands into a tapered, hanging, semienclosed tent large enough for one person. It can easily be hung from anything that will support the weight of a human. Opening and hanging the cocoon is a single action. Climbing into it is also an action. It lasts for one day before it begins to dissolve.",1d6,Handheld device,,,,,,,
1,87,Health symbiote,"Activation inflicts 1 point of ambient damage as the symbiote becomes established in the user’s system. For the next 28 hours, the user is immune to diseases, poisons, and other toxins.",1d6,Inhalable powder,Injector,,,,,,
1,88,Health viewer,"Allows the user to see through clothing and skin to view a creature’s insides. Lead blocks the special vision. The user can use this ability as an asset for any healing-related tasks. Once activated, the cypher functions for ten minutes.",1d6,Contact lenses,Monocle,Goggles,Small transparent panel,,,,
1,89,Heartbeat lock,"By placing the discs against the user’s chest for one minute, the device becomes synchronized with her heartbeat. After this, if the discs are pushed together, they form a seal that can be broken only when the device is exposed to the original heartbeat. Opening the lock destroys the locking mechanism.",1d6,A 1 m coil of thin copper wire with a flat disc on each end,,,,,,,
1,90,Heat nodule,"For the next 28 hours, each time the weapon the nodule is attached to strikes a solid creature or object, it generates a burst of heat, inflicting an additional 2 points of damage (3 points if the cypher is level 4 or higher, 4 points if the cypher is level 6 or higher).",1d6,Crystal nodule affixed to a melee weapon,,,,,,,
1,91,Heat sensor,"For one hour, the user can perceive objects and creatures based on the heat they emit. This may allow him to see otherwise invisible or hidden targets, or even certain objects inside other objects if their temperatures are vastly different.",1d6,Pill,Injector,Goggles,Spectacles,Contact lenses,Handheld device,,
1,92,Heat stone,The device activates when the user would take damage from heat or fire. The device reduces the damage to 0 and makes the user immune to heat and fire for one hour.,1d6,Necklace,Ring,,,,,,
1,93,Heatvision lenses,"Allows the user to see infrared light for one hour. Warm creatures and objects register as bright reds, oranges, and yellows, while cool areas appear blue, purple, or black. The device allows the wearer to see in total darkness, though fine detail is impossible. A hot light source (such as the sun) effectively blinds the user while the source is in his field of view.",1d6,Eye drops,Eyeglasses,Goggles,Contact lenses,,,,
1,94,Heliolithic halo,"When activated, the ring hovers about 8 cm over a living creature and creates a psychic shield of white light to protect that creature. For the protected creature, the difficulty of all Intellect defense tasks is decreased by one step for one hour. Requires a sun prayer to activate (activation is an action).",1d6,Metallic ring 15 cm in diameter,,,,,,,
1,95,Hidden reviver,"This device is always disguised as a wearable object. When worn, the device does not count against your cypher limit. To use the device, you must first dismantle the disguised object and then rebuild it into its proper form as a handheld device. Then it can revive a depleted artifact for a single additional use.
One action to build the reviver from the
parts, and one action to attempt to use it.",1d6,Elaborate hair pin,Locket necklace,Double bracelet,,,,,
1,96,History tap,"As soon as you put on the device, it begins to pulse with a heat that runs along your skin and directly to your brain. If you think of a human or visitant that you’ve heard of but never met, the device grants you access to one random moment in that individual’s life. You see the moment as if in a dream and may remember only parts of it once the experience is over.",1d6,Small disc attached to forehead,Electronic bracelet,Thick collar,Stretchy gloves,,,,
