d6/2,d100,ARTIFACT,DESCRIPTION,LEVEL,DEPLETION,FORM,
1,34,Stunner,"When activated, this device fires a beam of energy that stuns the target for one round, making him lose his next action.
This device is a rapid-fire weapon and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6,1 in 1d20,A handheld device that looks like a metal sphere with a handle.,
1,35,Tendril Graft,This graft attaches to the host’s spinal column so that it can be controlled like a limb. The host can use it like a whip (a light weapon) even if his hands are full. He can also use it like a prehensile tail that can hold his weight (assuming he is roughly human-sized) or another object.,1d6,–,A whiplike length of organic material similar to flesh.,
1,36,Trigger Trap,"A cypher of virtually any kind can be added to this trigger device to turn it into a trap. First, the cypher is added to the device (an Intellect task with a difficulty of 4), and then various wires and plates are affixed permanently to something – a nearby surface, door, hinge, and so on. When the trap is triggered, the cypher is activated, so people often use straightforward cyphers such as a detonation, a ray emitter, or a similar device.
The trigger can react to a specified movement within 0.9 m – a door opening, a creature or object moving past the artifact, and so on. The higher the level of the device, the more sophisticated the trigger. For example, a level 4 artifact’s trigger might be based on a creature’s size or weight, a level 5 artifact can trigger based on a specific type of creature, and a level 6 artifact can trigger based on recognizing an individual creature.",1d6,Automatic,"A small, rather complex box of metal sensor plates, wires, and controls.",
1,37,Weapon Graft,This organic graft fits over a hand or empty stump and affixes to the flesh of the host. The physical bond provides an asset that makes attacks one step easier. This special medium weapon inflicts 4 points of damage.,1d6,–,"A blade, spiked ball, or hammerlike object made of hard, chitinous material or metal, with a sleeve of softer, fleshy material.",
1,38,Aim True Goggles,"By pressing small buttons on both sides of the device, the user activates the lenses. These special lenses block blue and violet rays, which can impair vision, thus enhancing the wearer’s sight. The difficulty of all ranged attacks is decreased by one step when wearing the goggles. Lasts for one hour.",1d6,1 in 1d20,"A pair of goggles, a pair of glasses, a full or half mask that covers the eyes with lenses.",
1,39,Annihilation Chamber,Anything placed inside the canister is instantly and permanently destroyed.,1d6,1 in 1d100,"A metal canister 1 m tall and 0.3 m in diameter, with a flip-up lid.",
1,40,Armoring Cloth,"If this clothing is struck, it hardens upon impact, providing +1 to Armor. It then immediately returns to its normal state (which is in no way encumbering).
This clothing cannot be worn with armor of any kind.",1d6,–,Typical clothing.,
1,41,Augmenter Harness,"The device enhances the wearer’s physical strength and power. She inflicts 1 additional point of damage with weapon attacks, and the difficulty of carrying or lifting tasks is reduced by one step.",1d6,1 in 1d10,"A thick, wide belt with a mechanical device as a buckle and two bands that extend from the belt up and over the wearer’s shoulders.",
1,42,Automapper,"This slab tracks its own progression through the world, creating a virtual light map on its surface for about a month. At the end of that time, it resets itself and begins again.",1d6,–,Thin metallic slab with lights and a toggle.,
1,43,Biometric Patch,"The patch bonds to whatever it touches and prevents creatures other than the user from using the artifact. To use the artifact, the user must place his lips on the patch, which reads the biometric signature and activates the artifact.",1d6,–,A patch of skin that must be grafted onto another artifact.,
1,44,Box of Embers,"Once attached, this nodule causes the hilt of the weapon or tool to glow with a pulsing reddish-black light. The patch has no effect on the item during combat, but three small buttons on the side allow the user to control the other effects: light (a red glow that allows the user to see at night as if it were daylight), heat (enough to melt ice or keep one person warm even in freezing temperatures), and firestarting (while in this mode, blowing on the hilt will release enough embers from the weapon to start a fire).",1d6,–,Very small synth panel or patch affixed to a melee weapon or other tool.,
1,45,Burning Egg,"Pressing the button causes the device to flash once each round for three rounds. After this time, it emits a loud buzzing noise and releases a wave of invisible energy. The wave inflicts ambient heat damage equal to the artifact level on every living thing within a short distance.",1d6,1 in 1d6,"A small metal, egg-shaped object with a button on top.",
1,46,Cacophony Blade,"This sword is unwieldy and heavy. The difficulty of attacks made with this weapon is increased by one step. However, if the user activates the artifact, the spiked chain begins to rock back and forth, creating an awful shrieking noise. When the weapon hits a target, the chain catches and rips through the target, inflicting 4 additional points of damage. The damage penetrates (ignores) 2 Armor.",1d6,1 in 1d20,"A dull, heavy, medium-length sword, dripping oil, with a fine spiked chain running along the edge.",
1,47,Clawed Gauntlets,"With a flick of one’s hands (not an action), these gauntlets produce long steel claws that are medium weapons, inflicting 1 additional point of damage on each attack.",1d6,–,Metal gauntlets.,
1,48,Coolclothes,"These clothes keep the wearer’s body temperature at the same level as her surroundings. Not only do they keep her comfortable, they also make her invisible to creatures or automatons that use heat sources to sense (such as infrared vision).",1d6,–,Full body jumpsuit.,
1,49,Creation Lantern,"When activated, the device scans a 2 m cube of material within a short distance and then creates a physical copy from solidified light in an open space within a short distance. The copy lasts for a number of hours equal to the artifact level.",1d6,1 in 1d10,Egg-shaped synth device with a hollowed center containing a metal orb.,
1,50,Crown of Eyes,"It takes one round to activate the crown. When activated, the crystal spheres separate from the crown and fly around the wearer at immediate range for an hour. He can see anything the crystal spheres can see. This allows him to peek around corners without being exposed to danger. This gives the wearer an asset in initiative and all perception tasks.",1d6,1 in 1d100,Metallic circlet set with several crystal spheres.,
1,51,Cryogen Rod,"When activated, the cube at the end of the device rapidly cools until it reaches absolute zero (approximately –273° C) and remains at that temperature for about one minute before warming back up to local temperature. The rod can be used as a club (a light weapon) that inflicts additional ambient damage equal to the artifact level.
If the frozen tip is placed in any liquid, it causes all the liquid within a 15 m radius to solidify. The rod cannot be removed from the solid until it melts.",1d6,1 in 1d6,A smooth length of metal that has a bronze cube at one end.,
1,52,Crystal Helmet,"When a user activates the device while wearing it, the band surrounding the hole fuses with his skin to make the globe airtight. The globe creates a breathable atmosphere for him that lasts for up to four hours or until he deactivates it (not an action). In addition, the globe allows him to perceive his surroundings clearly to a distance of 152 km. However, the device interferes with his ability to hear and increases the difficulty of any task that involves hearing by one step.",1d6,1 in 1d20,"A glass globe with a hole on the bottom. The hole is large enough for a human to place the globe over his head, and a soft band around the opening cushions its weight.",
1,53,Cyclops Helm,The wearer sees through the lens on the front of the helm via screens inside the helmet. It gives her an asset on all visual perception tasks.,1d6,–,A metal helmet that fits over the wearer’s entire head and has a single lensed eye in the front.,
1,54,Data Armor,"When placed just under the ear, tiny prongs sprout from the disk to anchor it in the flesh. The device reinforces the user’s mind with an information stream from the datasphere. The device adds 1 to her Intellect Edge.",1d6,–,A tiny metal disk with a glowing crystal in the center.,
1,55,Data Imager,"When the device is activated, the user names one type of creature or object, and the device draws information about the subject from the datasphere, creating an image of it anywhere the user chooses within immediate range. The image is visual only, and any physical object that touches it passes right through it. The image remains for one minute.",1d6,1 in 1d10,A small handheld device.,
1,56,Destabilizer,"The user activates the device and points it at a small stone or piece of metal within immediate range. The device causes the target to become unstable for one hour. If the target is thrown while unstable, it explodes in an immediate radius on impact, inflicting shrapnel damage equal to the artifact level.",1d6,1 in 1d6,A synth cube made of smaller cubes.,
1,57,Detachable Eye,"To use this device, the user must press it into an empty eye socket and hold it there for at least one minute while filaments plug into the brain. Once it’s properly installed, she can see through it as if it were a normal eye, and she can also see in areas of darkness as if they were lit.
At any point, the user can use an action to pluck the device from her head. She can continue to see through the device while she is within 2 km of it.",1d6,–,Synthetic eyeball.,
1,58,Detonation Catalyst,"When the device is affixed to a detonation cypher for one hour, the detonation is enhanced, inflicting 2 additional points of damage. If the detonation does not normally inflict damage, it now inflicts 2 points in addition to whatever effect it normally has.",1d6,1 in 1d10,Small handheld device with clips on wires.,
1,59,Digestion Parasite,"The worm functions only if it is swallowed whole. Once ingested, it grows until it completely replaces the user’s digestive tract. Henceforth, the user receives sustenance from anything he ingests, even if that substance is poisonous, contaminated, or something that cannot normally be digested. The worm breaks down the substance and passes it while supplying the host with life-sustaining nutrients.",1d6,–,A living grey worm with a mouth at either end.,
1,60,Doroa of the Silent Song,"When activated, the device begins to recount the Sacred Chronicle of High Father Calaval in a soft, slightly metallic voice. The entire tale takes about 28 hours from start to finish. If the tale is interrupted during the telling for any reason, the device starts again at the beginning.",1d6,–,"Complex standalone device carved of soapstone in the rough shape of a woman, about 1 m high, with two bright green gems lodged into the face.",
1,61,Ebon Eyes,"Placing a droplet in each eye turns the user’s eyes solid black. For the next 28 hours, he can see in areas of dim light or very dim light as if they were illuminated with bright light. The user’s eyes adjust to protect him from sudden light changes, and he can’t be blinded by light effects.",1d6,1 in 1d10,A small bottle of black liquid with a dropper.,1d6 + 2
1,62,Emitter Enhancer,"When the device is fit over and around any kind of ray emitter cypher, the emitter inflicts 2 additional points of damage. If the emitter does not normally inflict damage, it now inflicts 2 points in addition to whatever effect it normally has.",1d6,1 in 1d20,Complex set of tubes and hinged rods.,
1,63,Energy Converter,"The device transforms physical energy into mental energy. Whenever the user would apply Effort on an Intellect roll, she may spend the points from her Might Pool instead.",1d6,1 in 1d100,A mechanical plug that must be installed somewhere in the user’s body.,
1,64,Ephemeral Garb,"The clothing has no appearance. The wearer looks like he is not wearing any clothing at all. However, the suit gives him +1 to Armor.",1d6,–,A suit of transparent clothing.,
1,65,Eternal Journal,"The pages of this book are designed to be written on with a finger, rather than a traditional writing utensil. The pages pick up the oils and skin cells shed from the writer’s finger, turning them into a soft grey ink. Whenever the book is returned to the stronglass case for more than 28 hours at a time, another blank page is created from the skin cells and added to the back.",1d6,–,Leather- and metallic-bound book that is housed inside a stronglass case.,
1,66,Everyoung Choker,"While wearing the device, the user shows no physical effects of aging and remains at the same age he was when he put on the device. If the device is removed, he ages normally.",1d6,1 in 1d100,A metal choker with a glowing crystal set on the clasp.,
1,67,Extraneous Arm,"Unlike a mechanical arm, this cybernetic limb is meant to be affixed to a position on a host body that would not normally have such a limb. This, then, could be seen as an additional arm.
The arm must be surgically and  permanently attached (a task equal to the artifact level). The procedure takes about an hour in a skilled chiurgeon’s hands.
Once the arm is attached, the user has complete control over the limb and uses it naturally, which might end up allowing her to hold an additional object. She is granted an asset for all lifting tasks, but the extra arm does not confer additional actions.",1d6,–,A metal arm.,
1,68,Extraneous Leg,"Unlike a mechanical leg, this cybernetic limb is meant to be affixed to a position on a host body that would not normally have such a limb. This, then, could be seen as an additional leg.
The leg must be surgically and permanently attached (a task equal to the artifact level). The procedure takes about an hour in a skilled chiurgeon’s hands.
Once the leg is attached, the user has complete control over the limb and uses it naturally. He is granted an asset for running tasks.",1d6,–,A metal leg.,
1,69,Extreme Lenses,The wearer can refocus her eyes to see up to one hundred times farther than normal.,1d6,1 in 1d20,Synth eye cups.,
1,70,Eye of the Sky,"Inside the tube is a fist-sized orb with a dozen or so lenses positioned across its surface. When activated, the tube fires the orb to a distance of 2 km in whatever direction it is facing. Provided the orb does not encounter a solid surface en route to its destination, once it moves the full distance, it stops and captures a perfect image of everything it can see within 8 km. It then slowly floats to the ground, where it can be retrieved.
Placing the orb into the tube after it has been retrieved allows a user to see the image on the viewscreen. The device is typically used to create a detailed map of the surrounding environment.
When fired, if the orb strikes a solid object in its path, it inflicts damage equal to the artifact level and immediately shatters, rendering the artifact worthless.",1d6,1 in 1d100,A large tube mounted on a flat platform with a viewscreen.,
1,71,Feather Cloak,The feathers stiffen when struck to protect the wearer from injury. The user gains +1 to Armor while wearing the cloak.,1d6,–,A cloak made from golden feathers.,
1,72,Finger Talkers,"When worn on the thumb, pointer, and middle finger of both hands, the rings translate the wearer’s hand gestures into spoken words that are emitted by the bracelet. The bracelet also converts other people’s spoken words into text, which the wearer can read on a small screen on the side of the bracelet. While converting hand gestures into speech and speech into written language, the device also does any necessary translating. The device works automatically for most commonly used sign languages of the Ninth World, but if a user wishes to “train” the device to a new hand language, she must use it simultaneously with speaking for about an hour.",1d6,–,Six adjustable black rings and one black bracelet (which stores the rings when they are not in use).,
1,73,Flexsteel Weapon,"The weapon looks like it is made of steel, but when it is swung with force, it stretches. A wielder can stretch the weapon in his hands as if it were made of elastic material. When stretched in this way, it always snaps back to its original shape.
The difficulty of attack rolls made using this weapon is increased by one step. However, if the attack misses, the user can repeat the attack roll once. If the second roll succeeds, the weapon inflicts half its normal damage.",1d6,–,A weapon normally made from hard material such as a greatsword or battleaxe.,
1,74,Glow Boots,"The boots cause the wearer to leave behind faint footprints that reveal themselves in very dim light or darkness. The prints glow with faint light that is strong enough to be followed, but not strong enough to illuminate the area. The prints last for 28 hours before fading away.",1d6,–,A pair of leather boots.,
1,75,Glowglobe Nest,"This device holds one to three glowglobes. After ten minutes of sitting in the nest, the globes are fully recharged and ready for use again. Some people speculate that these devices were once far more common. In particular, the nests must have been used heavily by whatever prior civilization used glowglobes so much that they are still ubiquitous.",1d6,–,Either a small synth bowl or a synth object with two or three round receptacles.,
1,76,Greenstone Adaptor,"The device bonds to any artifact to which it is touched. The wires plug into the artifact and embed themselves in it. Henceforth, whenever a user rolls for depletion of that artifact, he can roll twice and use either result.
This device is radioactive. At the end of each day during which a user spent any time around the device, he must make a Might roll with a difficulty equal to the artifact level. On a failure, the device inflicts radiation damage equal to half the artifact level (minimum 1 point). This damage ignores Armor.",1d6,–,A glowing stone laced with wires.,
1,77,Guardian Sphere,"The sphere follows whoever activated it around for one hour by rolling across the ground to stay within an immediate distance of the user. The sphere jumps over obstacles that are 3 feet (1 m) tall or less. Otherwise, it maneuvers around them if possible or stays put if not. Once per round, whenever the user is attacked by a foe that is within an immediate distance, the ball leaps toward the foe and sprouts long spikes from its body that inflict damage equal to the artifact level on a hit. After making this attack, the spikes retract and the sphere falls to the ground.",1d6,1 in 1d20,A black metal sphere fitted with a glowing red disk made of glass that moves across its surface.,
1,78,Homing Volt Projector,"Fires tiny pellets that veer toward organic targets and burst with a jolt of electricity that deals 5 points of damage (ignores Armor). Attacking inorganic targets increases the difficulty by two steps, but attacking an organic target decreases the difficulty by one step. Hiding behind inorganic cover provides no protection, but hiding behind organic cover (like a tree) increases the difficulty of attacking the target by one step.",1d6,1 in 1d20,Small handheld device.,
1,79,Hypnotic Nanny,"When activated, the device croons and hums various songs and tunes, flashes in a series of calming, mesmerizing lights, and begins to vibrate softly. Creatures that listen for more than one minute are calmed and compelled to remain listening for as long as the effect lasts (one hour). During that hour, creatures of a lower level than the artifact fall asleep for 2d6 hours.",1d6,–,"Fur-covered, squishy oval device about 1 m by 0.3 m.",
1,80,Impulse Collar,"While within short range of another living creature, the wearer can activate the device by pressing the light with his thumb and aiming it in the general direction of another person. The device picks up and broadcasts the general emotional state of that person. A blue light signifies indifference, red signifies anger, purple signifies arousal, and yellow indicates good will, friendship, or love. Activation is an action.",1d6,1 in 1d20,A thick leather strap that wraps around one’s throat with a pulsing light set into a metal casing on the front of it.,
1,81,Instant Ladder,"When activated, the rod extends and produces rungs so that it can be used as a ladder up to 28 feet 9 m long.",1d6,1 in 1d100,Small lightweight rod.,
1,82,Kill Dart Projector,"This device projects a tiny dart made of glowing metal up to long range. The dart inflicts 1 point of damage and then saturates the target with radiation. The target takes 1 point of ambient damage each round, and the difficulty of all tasks it performs is modified by one step to its detriment. If the target removes the dart, the effect ends after 28 hours.
This device is a rapid-fire weapon and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each round of ammo used or each additional target selected requires an additional depletion roll.",1d6,1 in 1d6,A small handheld device with a narrow tube.,
1,83,Leap Boots,The user can activate these boots to jump up to a long distance and then land safely.,1d6,1 in 1d10,A pair of heavy boots.,
1,84,Light Tendril,"This mechanical tendril grafts easily (and without surgery) onto the user’s back. She controls the tendril, which always shines light on whatever she wishes.",1d6,–,A metal and synth tendril with an illuminated end.,
1,85,Lightning Whip,"When activated, energy crackles all along the length of the filament for one minute. While energized, the device can be used like a whip (a light weapon) that inflicts 4 points of damage. The damage ignores Armor.",1d6,1 in 1d10,A short handle with a 3 m long filament extending from the end.,
1,86,Lightwings,"When activated, the wings light up and can carry the user and her equipment up to 15 m in the air. Each time the wings are used, they last a number of minutes equal to the artifact level × 10 (a new roll is required for each use). As the power gets used up, the bioluminescent light begins to wane, alerting the wearer. The worms require about a day of rest between each use of the wings. (The wings don’t work as well if used more than once per day. For subsequent uses within 28 hours, they last only a number of minutes equal to the artifact level × 2).
Action to attach. Action to activate.",1d6,1 in 1d20,Set of lightweight collapsible wings and harness built of adamant silk and azure steel. The spine of the wings is actually a stronglass terrarium hosting the bioluminescent worms that power the device.,
1,87,Living Cable,"When activated, the cable unspools and sprouts two rows of impossibly long legs from either side, one pair per segment, while a row of knobby protrusions that resemble handles rise up from it, perpendicular to the legs. The cable then slithers to the vertical surface the user indicates and climbs up or down until it reaches the top or bottom or until it has extended its body to a distance of 30 m. It uses its legs to grip the surface and remains in place until a button is depressed near the top or bottom, which causes the thing to release, coil up, and retract all its legs and knobs.",1d6,1 in 1d20,"A spool of hard, flat, segmented cable.",
1,88,Living Tentacle,"The cord suctions to anything that it is pressed against, living or nonliving. When one suction disk is set, the others follow suit, always forming as straight a line as possible. Once the cord has suctioned to something, it will not release until the bulbous opening has been “fed” (usually a bit of meat, although tastes can vary from cord to cord).",1d6,1 in 1d100,"The cord suctions to anything that it is pressed against, living or nonliving. When one suction disk is set, the others follow suit, always forming as straight a line as possible. Once the cord has suctioned to something, it will not release until the bulbous opening has been “fed” (usually a bit of meat, although tastes can vary from cord to cord).",
1,89,Logic Spike,"To activate this item, the user must hammer the spike into his head, which inflicts no damage. Once installed, the device decreases the difficulty of any task that involves reason, logic, or recall by two steps. However, it increases the difficulty of any task that involves communication by one step.
An installed spike cannot be removed without permanently reducing the user’s Intellect Pool to 0.",1d6,–,A long metallic spike.,
1,90,Machine’s Heart,"It takes two rounds to assemble and set up this device, and then it takes an action to activate it. The empty box can hold four depleted,
broken, or otherwise unusable cyphers and artifacts. When the box is filled with the numenera and the machine’s heart is activated, it combines all of the numenera items inside it and reconfigures them into a number of new cyphers or artifacts equal to the artifact level.",1d6,1 in 1d6,A 2 m collapsible metal stand with a 1-m-by-1-m empty box on top and a control panel along the side.,
1,91,Manybag,"This leather bag has dozens of sealed compartments of different sizes. By verbal command, portions of the bag can become selectively intangible so that anything in the bag can be accessed quickly. In effect, the user can speak a command word and draw out whatever object in the bag is desired, because all other obstructing compartments (and their contents) are rendered out of phase for a moment.",1d6,–,Stiff leather bag of fairly large size.,
1,92,Mesoglea Gloss,"After breaking the orb and essentially killing the creature inside, the user can then slather a piece of armor with the goo. Once the goo dries into a hard shellac (about ten minutes), it provides protection against water, wind, and light. Additionally, the user can add a single drop of liquid to the gloss to activate it. When activated, the gloss becomes both hard and slippery, decreasing the difficulty of all Speed and Might defense actions by one step for one hour.
Applying the gloss is an action. Activating the gloss is also an action.",1d6,1 in 1d20,A living gelatinous creature encased in a medium-sized orb.,
1,93,Mind Blade,"The material from which the weapon is made is highly receptive to thought and stores mental energy placed into it. When a user attacks with the weapon and would apply Effort, he can spend points from his Intellect Pool instead of his Might Pool.",1d6,–,A weapon (usually a broadsword or dagger) made from grey crystal.,
1,94,Minute Lenses,The wearer can refocus her eyes to magnify whatever she is looking at within an immediate distance by up to one hundred times.,1d6,1 in1 d20,Synth eye cups.,
1,95,Multiphasic Ray,"Emits a ray of yellow-orange light that bathes up to three human-sized targets in a burst of energy. For the next ten minutes, those affected by the ray are multiphasic, existing in multiple phases and dimensions at one time. Multiphasic characters are not subject to the special resistances of creatures that are normally difficult to touch or attack because they are out of phase or transdimensional in nature. Likewise, if the attacks of foes who are out of phase or transdimensional would normally ignore Armor, this benefit does not apply to multiphasic characters.",1d6,1 in 1d20,Small handheld device.,
1,96,Music Makers,"While the gloves are worn and the fingertips are pressed to the surface of any living creature, they sound off in a series of notes. The notes may be altered by the amount of applied pressure, the angle of the touch, and the movement of the living creature. The sounds can be heard by anyone within 152 m.",1d6,1 in 1d20,Yellow and blue gloves with glowing fingertips.,
1,97,Periscopic Eye,"This device must be surgically implanted behind the user’s eyeball (a level 1d6 task that takes about one hour). Once it’s placed, the user can push on the inside of his eye and extend his eyeball out a number of feet equal to the artifact level. Doing this allows him to see around corners, down thin tunnels, and anywhere else he is willing to risk sending his eyeball.",1d6,–,Mechanical implant.,
1,98,Portable Lavation,"When set up near water (or if set up prior to a rainstorm), the device cleans and heats up to 1 gallon (4 L) of liquid and then creates a pressurized shower that lasts for ten minutes. The pressurized water also contains a scented residue that stays on the skin, which produces an odor that most humans find pleasing.
Those who shower for ten minutes (and don’t wipe the scented residue off their skin) find that the difficulty of all actions related to charm, charisma, and persuasion is reduced by one step for one hour, but only when they
are dealing with humans.
The device takes 28 hours to recharge between uses.
When in its box form, the device is sturdy enough to use as a stool or small table.",1d6,1 in 1d20,Black synth cube 0.3 m on a side that expands to a shelter 1 m by 1 m by 2 m.,
1,99,Protection Amulet,"The amulet reduces one type of damage by an amount equal to the artifact level. Roll a d20 to determine the kind of damage the amulet protects against.
1-4 Cold
5-8 Electrocution and shock
9-12 Fire
13-16 Poison
17-20 Radiation",1d6,1 in 1d6,A stylized amulet worn on a chain.,
